,HI_WOA,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO,DHO_KR
45,10557776321.715157,992752709.7542,118091899.58255357,301144214.78703713,14938184.517233796,5281851197.640394,5461493432.408818,419085905.7269648,2715090244.8347054
46,10557776321.715157,992752709.7542,118091899.58255357,296838211.0613213,14938184.517233796,2778908829.313049,8902595747.971941,414752887.4894996,2715090244.8347054
47,10557776321.715157,992752709.7542,73639536.5324412,293693512.0796952,14938184.517233796,4294661707.4029503,9348335754.35158,411302271.0757745,2627648420.543349
48,10557776321.715157,992752709.7542,73639536.5324412,292568943.605726,14938184.517233796,3806538385.4302654,7729335574.380034,408525957.27377766,2195699191.422149
49,10557776321.715157,992752709.7542,73639536.5324412,288562732.0435742,14938184.517233796,4028109818.7529216,4663713730.046508,402869595.25990295,2195699191.4221487
50,10557776321.715157,992752709.7542,65322531.72405021,264971778.72204295,14938184.517233796,3530404990.292465,5914791697.114049,400775988.7311445,2195699191.4221487
51,10557776321.715157,992752709.7542,65322531.72405021,257478963.71777543,14938184.517233796,2590697339.0606623,4875491002.654801,396660467.080641,1784579259.6386716
52,10557776321.715157,992752709.7542,65322531.72405021,248557653.14216855,14938184.517233796,1521858703.9930809,3677559775.3098736,390958685.40493006,1632820796.691234
53,10557776321.715157,992752709.7542,65322531.72405021,236606369.55765748,14878103.330752516,1669384788.8760362,2974690792.321703,388198973.9735925,1632820796.691234
54,10557776321.715157,992752709.7542,65322531.72405021,233014152.50635463,12101465.993836008,1866941214.0970435,4584869034.639715,384159405.41512287,1632820796.691234
55,10557776321.715157,992752709.7542,46461326.76757768,212670795.32546,8740342.15905288,2256548042.2411137,4370724435.509709,381225799.5719256,1630989310.9347465
56,10557776321.715157,992752709.7542,46461326.76757768,207552206.80672345,8740342.15905288,3426683830.98311,3846648010.373364,378483655.3094611,1630989310.9347465
57,10557776321.715157,992752709.7542,46138376.66366861,204082564.78947324,6816539.270015138,2687251267.796041,4503347150.237546,375179086.9093833,1630989310.9347465
58,10026057049.695398,992752709.7542,46138376.66366861,192165221.36896637,6816539.270015138,1691202810.9268909,6484579124.2963085,375093861.79836273,1630989310.9347465
59,10026057049.695398,992752709.7542,27874215.255337168,189709680.64442667,6816539.270015138,1618357943.853445,6993211544.44697,369056275.9968469,1479102842.2669096
60,10026057049.695398,992752709.7542,27874215.255337168,188089704.44386905,6816539.270015138,2508530444.660729,3292967221.1943336,367018373.895248,1479102842.2669096
61,10026057049.695398,992752709.7542,27874215.255337168,186571243.53082427,6816539.270015138,3323591401.685234,4342254647.005713,364007332.02822727,1421747827.5565898
62,10026057049.695398,992752709.7542,22516262.377287567,184403138.2199434,6816539.270015138,2845390004.169862,5033410240.844659,359980945.30012155,1421747827.5565898
63,10026057049.695398,992752709.7542,22516262.377287567,184288797.2750305,6816539.270015138,4106309725.697339,3824198884.571636,358679102.97956854,1421747827.5565898
64,10026057049.695398,992752709.7542,22516262.377287567,182464257.64322275,6816539.270015138,4166429939.068847,3629700906.836272,356972745.9942309,1421747827.5565898
65,10026057049.695398,992752709.7542,22516262.377287567,181587463.72134387,6816539.270015138,2156844002.3767223,3667578568.278578,353708321.6391525,1386056270.5126734
66,10026057049.695398,992752709.7542,22516262.377287567,181041356.72257063,6816539.270015138,3209362571.4068995,3014899848.1461706,351645200.91115624,1284694891.7605598
67,10026057049.695398,985144963.826813,22516262.377287567,180366812.60838032,4202106.053693818,3119264057.503937,4814871132.737256,350828574.08572346,1284694891.7605598
68,10026057049.695398,985144963.826813,22516262.377287567,180015774.41150612,4202106.053693818,2412209272.045554,3759578533.796568,349047170.7389498,466332083.955017
69,10026057049.695398,985144963.826813,22516262.377287567,179492570.72115758,4202106.053693818,2684331177.832411,2035978761.785133,343821284.1301882,466332083.955017
70,10026057049.695398,985144963.826813,22516262.377287567,179370028.15989172,4202106.053693818,2797157335.743555,1658857410.0960512,343141095.90376705,417615486.9882267
71,10026057049.695398,985144963.826813,22516262.377287567,178321137.64088425,3654552.396144924,2033712884.5550685,3084039658.133802,338924172.5944904,417615486.9882267
72,10026057049.695398,985144963.826813,22516262.377287567,177872181.70294958,3654552.396144924,2550612155.8584514,2078552191.7343764,336652468.5101848,417615486.9882267
73,10026057049.695398,985144963.826813,22516262.377287567,176073219.60629714,2794126.561605697,2062253464.5846407,2019286004.9864469,335457650.60025704,417615486.9882267
74,10026057049.695398,985144963.826813,22516262.377287567,174830266.36250946,2794126.561605697,3017055046.7449512,1936433637.1102507,332403965.9920434,417615486.9882267
75,10026057049.695398,985144963.826813,22516262.377287567,173783049.47962555,2794126.561605697,3114921561.0111265,2162116097.1585703,330224645.09255207,417615486.9882267
76,10026057049.695398,985144963.826813,22516262.377287567,170058152.25689074,2794126.561605697,2087357176.080281,2263296508.571204,324954555.6814779,417615486.9882267
77,10026057049.695398,985144963.826813,22516262.377287567,169079922.01376334,2794126.561605697,1967200030.9407792,2230753931.0207467,322803454.0684593,417615486.9882267
78,10026057049.695398,899256471.1615201,22516262.377287567,167998460.84714893,2187798.7581163584,2241711734.077765,1477591696.540732,320037371.6149755,417615486.9882267
79,10026057049.695398,899256471.1615201,19026238.163212363,167154993.61390713,2187798.7581163584,1862167362.9800336,1044010350.6915672,313918189.9305641,417615486.9882267
80,10026057049.695398,899256471.1615201,19026238.163212363,164797434.048997,2187798.7581163584,2167055825.520466,1030761297.3562392,312250589.1378682,417615486.9882267
81,10026057049.695398,899256471.1615201,19026238.163212363,164715329.4842237,2187798.7581163584,2311427514.729705,1827284604.501568,310252435.0733325,417615486.9882267
82,10026057049.695398,899256471.1615201,6702246.894857592,163801496.74641988,1083038.7540704908,2556178374.9348364,1607553263.1745803,309516412.9840502,417615486.9882267
83,10026057049.695398,899256471.1615201,6702246.894857592,161627276.84930006,1083038.7540704908,2560064933.637975,2321295301.061556,308125231.948826,151490737.46543115
84,10026057049.695398,872613885.3868799,6702246.894857592,159057859.46777922,1083038.7540704908,2439550247.0691605,2013389075.221145,302954688.05372864,151490737.46543115
85,10026057049.695398,872613885.3868799,6702246.894857592,155670470.0607929,1083038.7540704908,2159401313.5797324,2646575093.992387,295479190.8579634,151490737.4654311
86,10026057049.695398,872613885.3868799,6702246.894857592,150198739.06249365,1083038.7540704908,1800993991.1016035,1835785583.8668923,290061566.4095826,144644391.8534908
87,10026057049.695398,872613885.3868799,6702246.894857592,134081968.67122,1083038.7540704908,1900786123.40426,1606693711.641292,289123014.06527627,144644391.8534908
88,10026057049.695398,872613885.3868799,6702246.894857592,115634858.86358248,1083038.7540704908,1095061837.4304285,2699276667.5471425,280568172.3621186,137796808.01983097
89,10026057049.695398,872613885.3868799,6702246.894857592,99720111.23892356,1083038.7540704908,926680029.8225127,1743006892.4186375,277818613.2134887,137796808.01983097
90,10026057049.695398,872613885.3868799,6702246.894857592,74127518.95245759,1083038.7540704908,579428042.437778,1110492156.680569,276829168.85139626,137796808.01983097
91,10026057049.695398,872613885.3868799,6702246.894857592,65308262.878028594,1083038.7540704908,1108074616.6767602,1692885108.0315049,271526729.8637373,137796808.01983097
92,10026057049.695398,872613885.3868799,6702246.894857592,62534862.79518768,1083038.7540704908,1552283051.272013,1172587819.7011871,269355320.07651854,137796808.01983097
93,10026057049.695398,872613885.3868799,6702246.894857592,56574256.16342452,1083038.7540704908,1176920891.3220978,1768692739.1035736,264390073.2690039,137796808.01983097
