,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
31,44790812.63780519,310876.0877630663,2828963.5249996264,14756186.410870038,52661072.77337859,3296870.3896012944,16909234.12022957,889922667.0151914,302055988.290603,12840431.02098045
32,44790812.63780519,395292.9438897212,2758623.961001684,14756186.410870038,52661072.77337859,3294441.1239242232,16909234.12022957,1298050407.9693549,273223922.794985,12329855.2771486
33,44790812.63780519,391899.56348827376,2659928.19461328,14756186.410870038,52661072.77337859,3288095.48644719,16909234.12022957,899366196.8133675,782632572.7480732,11532681.016214317
34,44790812.63780519,309639.5580497368,2556551.171899508,14756186.410870038,52661072.77337859,3286865.5912396302,15964055.090576785,719216030.8293005,337055647.6974696,11275376.850746827
35,44790812.63780519,250217.198604364,2351342.8065857906,14756186.410870038,43034579.43120656,3283874.9382086485,8783264.930077959,739031456.4217454,892012762.6481708,10853628.871220242
36,44790812.63780519,248824.0626276547,2258083.9109896645,14756186.410870038,43034579.43120656,3281904.484270867,8783264.930077959,666178014.2816164,881094186.9615716,10282296.47522851
37,44790812.63780519,248329.28019989532,2103832.100650787,14756186.410870038,43034579.43120656,3280701.49644312,8783264.930077959,538336603.6592134,687508174.6189308,10016532.591539174
38,44790812.63780519,248044.09284781365,1930601.545021307,14756186.410870038,43034579.43120656,3280404.7849324825,8783264.930077959,495665574.025742,564931522.1919994,9105917.542996254
39,44606955.28124449,248492.54195160145,1695873.0186563022,14756186.410870038,43034579.43120656,3279853.987760031,8783264.930077959,492673057.3694705,393572849.5262477,8592162.898032362
40,44606955.28124449,248106.3189105572,1670110.0633554994,14756186.410870038,43034579.43120656,3279788.497695878,8783264.930077959,675614828.2498422,231793356.4627489,8108888.717801453
41,44606955.28124449,178085.99199814536,1525545.142302342,14756186.410870038,43034579.43120656,3279605.824340934,8783264.930077959,501998409.7975706,547644887.2631116,7681328.709529813
42,30567293.578983054,176563.97890200495,1205093.464945747,14756186.410870038,43034579.43120656,3279387.838987086,8783264.930077959,205945923.36973745,578607893.9606286,7195457.512590477
43,30567293.578983054,106682.98984812306,1100419.781556917,14756186.410870038,43034579.43120656,3278878.1634990107,8783264.930077959,172291862.25149998,501130647.8301743,6731044.158506708
44,22864380.253514707,82873.07819832227,1009685.1877552272,14756186.410870038,43034579.43120656,3278205.6059461418,8783264.930077959,189644145.86510152,655555262.4963531,6302575.352433752
45,22864380.253514707,82979.57638671056,988251.4225991206,14756186.410870038,43034579.43120656,3274726.401351608,8783264.930077959,521543818.0836115,479718576.9965404,6172435.487677155
46,22864380.253514707,55532.51602320901,938378.4250999804,14756186.410870038,43034579.43120656,3268628.7117114966,5878072.6123858765,235128017.96483535,280805509.33239216,5959191.809420835
