,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
46,16269.29644309075,5873.567097942546,32599.77689844848,9821.835029735725,21656.8664044466,9848.704241610756,8517.470863569131,47861.36170466748,58932.73002651231,21320.280534535217
47,16269.29644309075,5866.05910778351,32431.271388918467,9821.835029735725,21656.8664044466,9698.191598351184,8517.470863569131,65847.56785582392,78788.81793168365,21305.560256553264
48,16269.29644309075,5688.982320315551,32299.392322308067,9821.835029735725,21656.8664044466,9554.961309528851,8517.470863569131,57173.68745720922,278777.1791443965,21282.873784207783
49,16269.29644309075,5670.85683527966,32158.10193627656,9821.835029735725,21656.8664044466,9471.280480304016,8517.470863569131,88976.49149706367,52513.653846541216,21249.7852930917
50,16269.29644309075,5668.335734783419,32078.985463988865,9821.835029735725,21656.8664044466,9348.778347103396,8517.470863569131,68100.42987710229,351289.668991881,21211.22289620024
51,15787.194895775,5569.318656148331,31747.33596002294,9821.835029735725,19189.730446657933,9330.34150910462,7462.986549957863,85382.36243145344,35282.4160126283,21201.24703140844
52,15787.194895775,5406.534717795251,31600.665815437824,9821.835029735725,19189.730446657933,9327.142692046167,7462.986549957863,62984.71599533589,24228.997664981038,21173.28000104438
53,15787.194895775,5402.387033019367,31434.208298801437,9821.835029735725,19189.730446657933,9323.930168597151,7462.986549957863,62341.6817230582,32941.310463869,21160.22927605773
54,15774.312819822027,5332.435250462673,31382.429451509084,9821.835029735725,19189.730446657933,9318.68113869468,7462.986549957863,66765.70484000091,46996.08237338466,20696.600181339545
55,15774.312819822027,5260.361877529935,31312.626657589903,9821.835029735725,19189.730446657933,9309.723361251454,7462.986549957863,63251.71647090401,70121.23519451523,20226.12371532453
56,15774.312819822027,5264.298383484956,31152.175295735226,9821.835029735725,19189.730446657933,9297.589852746643,7462.986549957863,70210.06052562415,65480.66569519386,20100.171913439422
57,15774.312819822027,5235.894813662015,30996.59664232633,9821.835029735725,19189.730446657933,9280.986591016632,6827.046212332943,56354.75164528093,43503.60526921292,20039.46328424121
58,15760.682805276268,5218.779174520024,30650.56976899627,9821.835029735725,19189.730446657933,9205.902345238685,6827.046212332943,81508.5315790017,38399.09764389615,20013.55939654232
59,15760.682805276268,5191.475473526584,30466.44471691433,9821.835029735725,19189.730446657933,9106.976849493984,6827.046212332943,90115.73540266024,34375.87464007843,19977.38970687798
60,15406.067960156624,5094.725445174168,30348.617672761862,9821.835029735725,19189.730446657933,9052.487605889037,6827.046212332943,80756.39169471562,54321.59659036029,19965.371533535512
61,15406.067960156624,4836.992480370288,30179.530391803983,9821.835029735725,19189.730446657933,9048.598010545727,6594.990738707614,74934.95381723355,69216.99452111188,19950.172949045274
62,15406.067960156624,4826.211026012747,30040.96452201429,9821.835029735725,19189.730446657933,9012.62589165445,6594.990738707614,64097.03348084332,70655.32017445326,19927.11072845902
63,15406.067960156624,4799.210473959177,29966.22722065904,9821.835029735725,19189.730446657933,8902.03895623851,6594.990738707614,35499.651184102186,79571.71858001294,19904.141481255105
64,15362.153693800796,4785.695045642193,29885.839060944887,9821.835029735725,19189.730446657933,8733.834788577316,6594.990738707614,49727.49918665276,129247.309280874,19880.34739007105
65,15362.153693800796,4723.30268047681,29857.402818496863,9821.835029735725,19189.730446657933,8549.395574284783,6594.990738707614,33014.558098672765,71319.03433167393,19867.54300879984
66,15362.153693800796,4647.119630447248,29811.90870240772,9821.835029735725,19189.730446657933,8432.944881326162,6594.990738707614,45079.01528091436,81152.39284078196,19844.537545476644
67,15362.153693800796,4648.790003442821,29792.39232769909,9821.835029735725,19189.730446657933,8394.88357495113,6594.990738707614,80554.30915416905,82207.81830358076,19813.32447016931
68,15362.153693800796,4642.359162794818,29750.308033889807,9821.835029735725,19189.730446657933,8282.306302300443,6594.990738707614,62121.5647612295,143788.5649725814,19795.011267923008
